lexeme, token, line_number, type
a, IDENTIFIER, 51, float
ar, IDENTIFIER, 118, int
b, IDENTIFIER, 52, int
c, IDENTIFIER, 53, float
car, IDENTIFIER, 121, Car
d, IDENTIFIER, 54, float
e, IDENTIFIER, 55, int
f, IDENTIFIER, 56, float
fact, IDENTIFIER, 115, int
i, IDENTIFIER, 104, int
lst, IDENTIFIER, 48, list(int)
p, IDENTIFIER, 72, int
q, IDENTIFIER, 73, int
s, IDENTIFIER, 44, str
x, IDENTIFIER, 42, int
y, IDENTIFIER, 43, float
