lexeme, token, line_number, type
array, IDENTIFIER, 2, list(int)
i, IDENTIFIER, 14, int
j, IDENTIFIER, 15, int
k, IDENTIFIER, 16, int
left_half, IDENTIFIER, 6, list(int)
mid, IDENTIFIER, 4, int
right_half, IDENTIFIER, 7, list(int)
